study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp
PRJNA392905	SAMN07312045	SRX2978850	SRR5799383	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799383/SRR5799383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799383/SRR5799383_2.fastq.gz
PRJNA392905	SAMN07312119	SRX2978851	SRR5799384	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799384/SRR5799384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799384/SRR5799384_2.fastq.gz
PRJNA392905	SAMN07312122	SRX2978852	SRR5799385	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799385/SRR5799385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799385/SRR5799385_2.fastq.gz
PRJNA392905	SAMN07312044	SRX2978856	SRR5799389	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799389/SRR5799389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799389/SRR5799389_2.fastq.gz
PRJNA392905	SAMN07312040	SRX2978860	SRR5799393	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799393/SRR5799393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799393/SRR5799393_2.fastq.gz
PRJNA392905	SAMN07312036	SRX2978862	SRR5799395	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799395/SRR5799395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799395/SRR5799395_2.fastq.gz
PRJNA392905	SAMN07312034	SRX2978864	SRR5799397	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799397/SRR5799397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799397/SRR5799397_2.fastq.gz
PRJNA392905	SAMN07312032	SRX2978866	SRR5799399	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799399/SRR5799399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799399/SRR5799399_2.fastq.gz
PRJNA392905	SAMN07312134	SRX2978871	SRR5799404	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799404/SRR5799404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799404/SRR5799404_2.fastq.gz
PRJNA392905	SAMN07312127	SRX2978878	SRR5799411	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799411/SRR5799411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799411/SRR5799411_2.fastq.gz
